male,white,something else
male,white,bisexual
male,white,bisexual
male,white,something else
female,white,straight
male,white,gay
male,white,something else
male,white,something else
female,white,bisexual
female,white,bisexual
female,white,something else
female,white,gay
male,white,gay
female,white,gay
male,white,something else
male,white,something else
male,white,bisexual
male,white,something else
male,white,something else
female,white,something else
female,white,something else
female,white,gay
male,white,bisexual
female,white,gay
female,white,something else
female,white,bisexual
female,white,straight
female,white,gay
female,white,gay
male,white,straight
male,white,gay
male,white,something else
female,white,something else
male,white,something else
female,white,something else
female,white,gay
male,filipino,gay
male,white,straight
male,white,something else
male,black,something else
male,white,something else
male,white,bisexual
female,white,something else
male,white,straight
male,white,something else
male,white,something else
female,white,something else
male,white,gay
female,white,something else
female,white,something else
female,white,straight
male,white,gay
female,white,something else
female,white,straight
female,white,gay
female,black,gay
female,white,gay
male,white,straight
male,white,something else
male,white,something else
male,white,gay
male,black,bisexual
male,white,something else
male,white,straight
male,white,gay
male,white,bisexual
female,white,bisexual
female,white,bisexual
female,white,something else
female,white,bisexual
female,white,something else
male,white,something else
female,white,gay
male,white,something else
female,white,something else
male,white,gay
female,white,bisexual
female,white,something else
male,white,something else
female,white,something else
female,white,gay
female,white,gay
male,white,something else
male,white,straight
female,white,bisexual
male,white,something else
female,indian,bisexual
female,white,bisexual
female,white,gay
male,white,something else
female,black,bisexual
male,white,gay
female,white,straight
female,white,bisexual
female,white,straight
female,white,bisexual
female,white,gay
male,white,something else
female,white,something else
female,black,bisexual
male,white,something else
female,white,bisexual
male,white,something else
male,white,something else
male,white,bisexual
male,white,straight
female,white,bisexual
female,white,something else
female,white,gay
female,white,gay
male,white,gay
male,white,bisexual
male,white,gay
female,white,bisexual
male,white,something else
male,white,bisexual
male,black,something else
female,white,gay
female,white,something else
female,white,something else
female,white,something else
female,white,straight
female,chinese,bisexual
male,chinese,something else
male,white,something else
female,white,something else
female,white,something else
female,white,straight
male,white,something else
female,white,something else
female,white,bisexual
female,white,gay
female,black,gay
male,white,gay
female,white,straight
female,white,something else
female,black,something else
male,white,gay
female,white,bisexual
female,white,something else
male,white,something else
male,white,bisexual
female,white,bisexual
female,black,bisexual
female,white,something else
